pre_academy_company,pre_academy_segment
Fiorano Software Technologies,SMB
Fiserv,High Growth Startups
Flexnest,High Growth Startups
Flipkart,High Growth Startups
Flying Wedge Defence & Aerospace,SMB
Foyr,Services
Freecharge,High Growth Startups
Fresher,Fresher
Fresher,SMB
Fresher,Services
Fresher,
Freshworks,High Growth Startups
Fresttohome,High Growth Startups
Frost Interactive,SMB
Fujitsu,Established Business
Future Edu Solutions,SMB
GAIAN SOLUTIONS,High Growth Startups
GE Healthcare,Established Business
GGK Tech,High Growth Startups
"GO Software, Inc.",High Growth Startups
GS Lab,High Growth Startups
GX Group,Established Business
Games 24X7,High Growth Startups
GammaStack,Services
Geeksforgeeks,SMB
Gemini Solutions,High Growth Startups
Genpact,Services
Gensor Technologies Pvt Ltd,SMB
Getdandy,High Growth Startups
Getup for change services pvt ltd,SMB
Giggso,SMB
GlobalLogic,Established Business
Globant,High Growth Startups
Goldman Sachs,Established Business
Goodbox,High Growth Startups
Gopal Medison,SMB
Govt. of India,Services
Grappus,High Growth Startups
Greenko,High Growth Startups
Greenlots,High Growth Startups
HARMAN International,Tech Giants
HCL Technologies,Services
HCL Technologies,Established Business
HERE Technologies,High Growth Startups
HFCL Ltd.,Established Business
HP,Established Business
HSBC,Established Business
HashedIn,High Growth Startups
Health Prime,High Growth Startups
HealthifyMe,High Growth Startups
Heeddata,SMB
HighRadius,High Growth Startups
Hind Rectifiers LTD,High Growth Startups
Hitouch Technologies PVT LTD,SMB
Host Analytics Inc,High Growth Startups
Hughes,High Growth Startups
Hughes,Established Business
Human Resocia,Services
Huron consulting group,Established Business
Hyland,SMB
I-exceed technology,Average Scaled Company
IBM,Services
IBirds Software Services,SMB
IDBI Bank,Established Business
IEMA  Research and Development,Established Business
IIT Kharagpur,Established Business
IL&FS,Established Business
IMECO MACHINES PRIVATE LIMITED,SMB
ION Trading India,Established Business
ISB,Established Business
ITC Infotech,Established Business
ITE InfoTech PVT. LTD,High Growth Startups
Ibuild Innovations India,Services
Ida Infront,Services
Impetus,High Growth Startups
In Time Tec,SMB
In2It Technologies,Services
Incedo Inc.,Services
Incubyte,SMB
Indiamart,High Growth Startups
Indivisible Solutions,SMB
Indus Valley Partners,Services
Indus Valley Partners,High Growth Startups
InfoObjects Inc.,High Growth Startups
Infor India,High Growth Startups
Informatica,Established Business
Infosys,Services
Infosys BPM,Services
Infrrd,High Growth Startups
Innefu,SMB
Innodatatics,High Growth Startups
Innowatts Energy,High Growth Startups
Insphere Solution Pvt Ltd,High Growth Startups
Instalimb,High Growth Startups
Instem,SMB
Intel Technologies,Established Business
IntelliH Inc,High Growth Startups
Interra Systems,SMB
Iris Software Pvt Ltd,High Growth Startups
Ittiam Systems Pvt Ltd,High Growth Startups
Ivy Comptech,Services
JANA Small Finance Bank,High Growth Startups
JDA Software,High Growth Startups
JM Financial Ltd,Amazing Startups
JPMorgan Chase,Established Business
Jesperapps software services,SMB
Jio,Established Business
Jio,Amazing Startups
Jitfin Co,High Growth Startups
Johnson Controls,Established Business
Joveo,High Growth Startups
Jubiliant Food Works,Established Business
Just for you,SMB
KLA Corporation,Established Business
Kanini software solutions,SMB
Khoros,High Growth Startups
Klay,High Growth Startups
Klearnow,High Growth Startups
KloudOne,High Growth Startups
Knowledge Lens,High Growth Startups
KredX,High Growth Startups
Kreditbee,High Growth Startups
Krishihub,High Growth Startups
LTI,Established Business
LTIMindtree,Amazing Startups
LXTech India,Services
Larsen & Toubro,Established Business
Lebroid health care,SMB
Legato,Services
Lets Transport,High Growth Startups
Lido Learning,High Growth Startups
Lincode Labs,High Growth Startups
Liventus,High Growth Startups
LogicMonitor,High Growth Startups
Logituit,SMB
Lowe'S India,Established Business
MAQ Software,Services
MASS,SMB
MPS Limited,High Growth Startups
MSCI Inc.,High Growth Startups
"MaaS360 by Fiberlink, an IBM company",High Growth Startups
Magic EdTech,Services
Mantra Labs,High Growth Startups
Maplelabs Solutions Pvt. Ltd.,SMB
Marlabs Inc.,High Growth Startups
Mastercard,Tech Giants
Mavenir,High Growth Startups
Maveric Systems Pvt Ltd,SMB
Maxim Integrated,High Growth Startups
Maximl,SMB
Meet,SMB
Megh Computing Pvt Ltd,SMB
Mercedes-Benz Research And Development India,Established Business
Mergerware,Services
Merilytics,SMB
MetricStream,Services
Mialo Technologies Pvt ltd. (working for Lowes.com),SMB
Micro Focus,High Growth Startups
Microchip Technology Inc.,High Growth Startups
Microsoft,Tech Giants
Mihup Communication,SMB
Milestone,High Growth Startups
Milvik BIMA,High Growth Startups
Milvik BIMA,SMB
Mindfire Solutions,Services
Mindteck,Services
Mindtree,Services
Miniorange,SMB
Mint Mesh,SMB
Mirafra Software Technologies,High Growth Startups
Mithi,Services
Mits Global,High Growth Startups
Mobikwik,High Growth Startups
Mobile Programming India,Services
Mobileum,High Growth Startups
Mobiprise Systems,SMB
Mobiquity,High Growth Startups
Mobiux Labs,High Growth Startups
Model N,High Growth Startups
Molecular Connections,High Growth Startups
MoneyTap,High Growth Startups
Moneycontrol,High Growth Startups
Moneytor,SMB
Monura Research Institute,High Growth Startups
Morgan Stanley,Established Business
Mosaic Wellness,High Growth Startups
Motorola Solution,Established Business
Moveinsync,SMB
Mozocloud,SMB
Mphasis,Services
Muvi.com,High Growth Startups
Myntra,High Growth Startups
NCR Corporation,Services
NEC Technologies,Services
NRI,Services
NSF,SMB
NTT DATA Services,Established Business
Nagarro,Services
Narvar,High Growth Startups
National Informatics Centre,Established Business
Nayan India Science And Technologies,High Growth Startups
Neargroup,SMB
Neebal Technologies,SMB
Netcracker Technology,High Growth Startups
Netweb Software,High Growth Startups
Neuracle Technologies,SMB
Newgen Software,Amazing Startups
Nference,High Growth Startups
NielsenIQ,Established Business
Nile,High Growth Startups
Nityo Infotech,High Growth Startups
No Broker,Amazing Startups
Nomura,Established Business
Novartis,Established Business
Novopay Solutions Private Limited,High Growth Startups
Novorise Fintech PVT LTD,SMB
"O9 Solutions, Inc.",High Growth Startups
OYO,High Growth Startups
Object Frontier Software,High Growth Startups
Obopay,SMB
Odessa,Services
Ola,High Growth Startups
Omnie Solutions,SMB
OnePlus,Tech Giants
OpenText,Services
OpenText,High Growth Startups
Optimum Info Systems,High Growth Startups
Oracle,Established Business
Oracle,Tech Giants
Orane Tech,SMB
Orange Business Services,High Growth Startups
Osi Digital Pvt Ltd,High Growth Startups
Osmosis software,High Growth Startups
PRISM JOHNSON LIMITED,Established Business
PROZIOD,Services
Palc Networks,High Growth Startups
Paripoorna Software Solution Service Private Limited,High Growth Startups
Pasarpolis,High Growth Startups
PayPal,Tech Giants
PayU,High Growth Startups
Paysafe Group,High Growth Startups
Paytm,High Growth Startups
Pear System,High Growth Startups
Peerless,SMB
Pelatro Solutions Pvt Ltd,High Growth Startups
Pensieve,SMB
Perfios,Amazing Startups
Persistent Systems,High Growth Startups
Pfizer Healthcare India Pvt Ltd,Established Business
PhenomPeople,High Growth Startups
Philips,Tech Giants
Pietech Solution,SMB
Pine Training Academy,High Growth Startups
Planet Spark,High Growth Startups
Pocket52,SMB
PowerSchool,High Growth Startups
PowerSchool,Established Business
Practor,Services
Pragma Apps & Technologies,High Growth Startups
Precept Labs,High Growth Startups
Prodapt Solutions,High Growth Startups
Programmers.Io,High Growth Startups
Prompt Cloud,Services
Propel Technology,High Growth Startups
Prophecy Sensorlytics India,SMB
Provakil Technologies,SMB
PubMatic,High Growth Startups
Publicis Sapient,High Growth Startups
Publicis Sapient,Established Business
PureSoftware,High Growth Startups
PwC,Tech Giants
Q2,High Growth Startups
Qlik,High Growth Startups
Qpiai,High Growth Startups
Quadeye Securities,Established Business
Qualcomm,Established Business
Quanteon Solutions,SMB
Quinbay,Services
Quixy,High Growth Startups
Quovantis Technologies,High Growth Startups
R Systems,SMB
RNS Technologies pvt ltd,SMB
RadixWeb,High Growth Startups
Rakuten,Services
Ram clinics,Services
Rapid Global Business Solutions India Pvt . Limited,Services
Rapid Technology,SMB
Raw Engineering,SMB
Razorpay,High Growth Startups
Rebel Foods,SMB
Relevance Lab,Services
Reliance,Established Business
Reliance Infocomm Limited,Established Business
ResoluteAI.in,High Growth Startups
Ribbon Communications,High Growth Startups
Right Process Infotech Pvt Ltd (stuMagz),High Growth Startups
Robert Bosch,Established Business
Robosoft Technologies,High Growth Startups
Rocket Software,SMB
Rockwell Automations,SMB
Roofandfloor.com,Services
Royal Datamatics Pvt Ltd,High Growth Startups
Royal Infra Construction,SMB
Rsg Media Systems,High Growth Startups
Rythmos,High Growth Startups
S&P Global,Established Business
S&P Global Market Intelligence,Established Business
SAP,Established Business
SAP,Tech Giants
SBI,Established Business
STEPapp,High Growth Startups
Saama,High Growth Startups
Saba Software,High Growth Startups
Saggezza,SMB
Salesken,High Growth Startups
Samsung,Established Business
Sandvine,High Growth Startups
Sapiens Technologies(1982) India Pvt. Ltd,High Growth Startups
Scaler,High Growth Startups
Scatterpie analytics,High Growth Startups
Schlumberger,Established Business
Schneider Electric,Established Business
Scientific Games,Established Business
Seanergy Digital Services,High Growth Startups
Secure Learning,SMB
Self-employed,Self-employed
ServiceNow,Established Business
Sharepoint shop,High Growth Startups
Sharp Software Development India,High Growth Startups
Shiprocket,High Growth Startups
Shortlist Professionals,SMB
Siemens Healthineers,Established Business
Sigmoid Analytics,High Growth Startups
Sila india,High Growth Startups
Simplilearn,Amazing Startups
Singularity Science Academy,SMB
Sinoranic,Services
Siply,SMB
Skolaro,High Growth Startups
Slice,Amazing Startups
Smart Energy Water,High Growth Startups
SmartERP Consulting,SMB
Societe Generale Global Solution Centre,Established Business
Softnika Solutions Pvt Ltd.,High Growth Startups
Solcen Technologies Pvt Ltd (Part of Capgemini),SMB
Solera Holdings LLC,Services
Solvermind Solution & Technologies,SMB
Sopra Steria,High Growth Startups
Soroco,High Growth Startups
Spinny,Amazing Startups
Spinny,High Growth Startups
Splashlearn,High Growth Startups
Springboard India,SMB
Standard Chartered,Established Business
StashFin,High Growth Startups
State Street corporation,Amazing Startups
StratMed,High Growth Startups
Stryker,High Growth Startups
Super Ops.ai,High Growth Startups
Swiggy,High Growth Startups
Synechron,High Growth Startups
Synopsys,Established Business
Synoriq Pvt Ltd,SMB
Syntizen Technologies,Amazing Startups
SysCloud,SMB
TAYLOR & FRANCIS BOOKS LIMITED,Established Business
TCS,Services
TCS,Established Business
TEKsystems,Established Business
TIBCO Software Inc.,High Growth Startups
Tally Solutions,Established Business
TapClicks,High Growth Startups
Tara Capital Partners,SMB
Target,Established Business
