current_city,current_city_tier
Sojitra,Tier 3
Solapur,Tier 2
Srikakulam,Tier 3
Sultanpur,Tier 3
Surajgarh,Tier 3
Surat,Tier 2
Suryapet,Tier 3
Tadepalle,Tier 3
Tadepalligudem,Tier 3
Thane,Tier 1
Thiruvananthapuram,Tier 2
Tirunelveli,Tier 2
Tirupati,Tier 2
Tirupur,Tier 3
Tumsar,Tier 3
Udaipur,Tier 2
Udupi,Tier 3
Ujjain,Tier 3
Ulhasnagar,Tier 3
Ullal,Tier 3
Umreth,Tier 3
Uppiliyapuram,Tier 3
Vaddem,Tier 3
Vadodara,Tier 2
Valsad,Tier 3
Vapi,Tier 3
Varanasi,Tier 2
Vellore,Tier 2
Vijayawada,Tier 2
Vinukonda,Tier 3
Visakhapatnam,Tier 2
Waidhan,Tier 3
Warangal,Tier 2
Wardha,Tier 3
Yavatmal,Tier 3
Zirakpur,Tier 3
