college,college_tier
DEPARTMENT OF COMPUTER SCIENCE UNIVERSITY OF DELHI,TIER 3
DEVI AHILYA UNIVERSITY INDORE,TIER 3
DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE,TIER 3
DHARMSINH DESAI UNIVERSITY,TIER 2
DIT UNIVERSITY,TIER 3
DON BOSCO INSTITUTE OF TECHNOLOGY,TIER 3
DR BABASAHEB AMBEDKAR TECHNOLOGICAL UNIVERSITY,TIER 3
DR. A.P.J ABDUL KALAM UNIVERSITY,TIER 3
DR. AKHILESH DAS GUPTA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
DR. APJ ABDUL KALAM TECHNICAL UNIVERSITY,TIER 3
DR. B.C. ROY ENGINEERING COLLEGE DURGAPUR,TIER 3
DR. BHIM RAO UNIVERSITY,TIER 3
"DR. D.Y. PATIL INSTITUTE OF ENGINEERING AND TECHNOLOGY, LOHEGAON",TIER 3
"DR. HARISINGH GOUR UNIVERSITY, SAGAR(M.P.) INDIA",TIER 3
DR. M.C. SAXENA COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
DR. M.G.R. EDUCATIONAL AND RESEARCH INSTITUTE,TIER 3
DR. SUDHIR CHANDRA SUR DEGREE ENGINEERING COLLEGE,TIER 3
DR.AITH KANPUR,TIER 3
"DRONACHARYA COLLEGE OF ENGINEERING, GURGAON",TIER 3
DSMS COLLEGE OF TOURISM AND MANAGEMENT,TIER 3
DTU,TIER 1
DY PATIL COLLEGE OF ENGINEERING,TIER 3
ENGINEERING AND TECHNOLOGY COLLEGE,TIER 3
"FACULTY OF ENGINEERING AND TECHNOLOGY, AGRA",TIER 3
FAKIR MOHAN AUTONOMOUS COLLEGE,TIER 3
FEROZE GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
FUTURE INSTITUTE OF ENGINEERING AND MANAGEMENT,TIER 3
"G H RAISONI COLLLEGE OF ENGINEERING AND TECHNOLOGY, NAGPUR",TIER 3
G PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
"G.H. RAISONI COLLEGE OF ENGINEERING AND MANAGEMENT, PUNE",TIER 3
"G.H.PATEL POST GRADUATE DEPARTMENT OF COMPUTER SCIENCE AND TECHNOLOGY, V.V.NAGAR",TIER 3
GALGOTIAS COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
GALGOTIAS UNIVERSITY,TIER 3
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT HYDERABAD CAMPUS,TIER 3
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT VISAKHAPATNAM,TIER 3
GAUTAM BUDDH UNIVERSITY,TIER 3
GAYATRI COLLEGE OF ENGINEERING,TIER 3
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,TIER 3
GCT,TIER 3
GGSIPU,TIER 3
GIET,TIER 3
GITAM BENGALURU,TIER 3
GITAM UNVERSITY VIZAG CAMPUS,TIER 3
GITM GURGAON,TIER 3
GL BAJAJ INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
GLA UNIVERSITY MATHURA,TIER 3
GLNA TECHNICAL INSTITUTE,TIER 3
GOA UNIVERSITY,TIER 3
GODAVARI INSTITUTE OF ENGINEEEING AND TECHNOLOGY,TIER 3
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
GOVERNMENT COLLEGE OF ENGINEERING,TIER 3
