college,college_tier
SRI KRISHNA COLLEGE OF TECHNOLOGY,TIER 3
SRI RAMAKRISHNA ENGINEERING COLLEGE,TIER 3
SRI SATHYA SAI INSTITUTE OF HIGHER LEARNING,TIER 3
SRI VASAVI ENGINEERING COLLEGE,TIER 3
SRI VENKATESWARA UNIVERSITY,TIER 3
SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,TIER 3
SRKR ENGINEERING COLLEGE,TIER 3
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,TIER 2
SRM VALLIAMMAI ENGINEERING COLLEGE,TIER 3
SRMSCET,TIER 3
SRTTC PUNE,TIER 3
SSGMCE,TIER 3
SSIT,TIER 3
ST THOMAS COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
ST. JOSEPH COLLEGE OF ENGINEERING,TIER 3
ST. JOSEPH INSTITUTE OF TECHNOLOGY,TIER 3
ST. JOSEPHS COLLEGE OF ENGINEERING AND TECHNOLOGIES,TIER 3
ST. VINCENT PALLOTTI COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
"ST. XAVIER'S COLLEGE, KOLKATA",TIER 3
ST.JOSEPH'S COLLEGE OF ENGINEERING - SJCE,TIER 3
SVECW,TIER 3
SWAMI KESHWANAND INSTITUTE OF TECHNOLOGY MANAGEMENT AND GRAMOTHAN,TIER 3
SYMBIOSIS INTERNATIONAL UNIVERSITY,TIER 3
"TE SCHOLARS COLLEGE, BHIWANDI",TIER 3
TECHNO INDIA,TIER 3
TECHNO INDIA COLLEGE OF TECHNOLOGY,TIER 3
TECHNO INDIA SALT LAKE,TIER 3
TECHNO MAIN SALT LAKE,TIER 3
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE,TIER 3
TEERTHANKER MAHAVEER UNIVERSITY,TIER 3
TEZPUR UNIVERSITY,TIER 2
THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
THAPAR UNIVERSITY,TIER 2
THE NATIONAL INSTITUTE OF ENGINEERING MYSORE,TIER 3
THE NORTHCAP UNIVERSITY,TIER 3
"TIRPUDE INSTITUTE OF MANAGEMENT EDUCATION, CIVIL LINES",TIER 3
"TKR, HYD",TIER 3
"UCOE, PUNJAB UNIVERSITY",TIER 3
UEM JAIPUR,TIER 3
UEM KOLKATA,TIER 3
UIET CSJM UNIVERSITY KANPUR,TIER 3
UIET HOSHIARPUR,TIER 3
UIET PANJAB UNIVERSITY CHANDIGARH,TIER 3
UIUC,TIER 3
UJJAIN ENGINEERING COLLEGE,TIER 3
"UNITED COLLEGE OF ENGINEERING RESEARCH, ALLAHABAD",TIER 3
UNITED INSTITUTE OF TECHNOLOGY,TIER 3
UNIVERSITY COLLEGE OF ENGINEERING OSMANIA UNIVERSITY,TIER 3
UNIVERSITY COLLEGE OF ENGINEERING PUNJABI UNIVERSITY PATIALA,TIER 3
"UNIVERSITY COLLEGE OF ENGINEERING, PATIALA",TIER 3
UNIVERSITY COMMERCE COLLEGE (SFS),TIER 3
UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY ROHTAK,TIER 3
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN",TIER 3
UNIVERSITY OF CALCUTTA,TIER 3
"UNIVERSITY OF ENGINEERING AND MANAGEMENT, KOLKATA",TIER 3
UNIVERSITY OF MADRAS,TIER 3
UNIVERSITY OF MINNESOTA,TIER 3
UNIVERSITY OF PETROLEUM AND ENERGY STUDIES,TIER 3
UNIVERSITY OF RAJASTHAN,TIER 3
UNIVERSITY OF STRATHCLYDE,TIER 3
UNIVERSITY OF TEXAS AT DALLAS,TIER 3
UNIVERSITY OF WISCONSIN-MADISON,TIER 3
UPES,TIER 3
UTTARAKHAND TECHNICAL UNIVERSITY,TIER 3
UTTARANCHAL INSITITUTE OF TECHNOLOGY,TIER 3
VARDHAMAN COLLEGE OF ENGINEERING,TIER 3
VASAVI COLLEGE OF ENGINEERING,TIER 3
VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY,TIER 3
VELAMMAL ENGINEERING COLLEGE,TIER 3
VELTECH UNIVERSITY,TIER 3
VEMANA INSTITUTE OF TECHNOLOGY,TIER 3
VESIT,TIER 3
"VIDYALANKAR INSTITUTE OF TECHNOLOGY, MUMBAI",TIER 3
VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
VIGNAN INSTITUTE OF INFORMATION TECHNOLOGY,TIER 3
VIGNAN UNIVERSITY,TIER 3
VINOBA BHAVE UNIVERSITY HAZARIBAG,TIER 3
VISAKHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
VISHNU INSTITUTE OF TECHNOLOGY,TIER 3
VISHWAKARMA INSTITUTE OF TECHNOLOGY PUNE,TIER 3
VIT,TIER 3
VIT BHOPAL,TIER 3
VIT CHENNAI,TIER 3
VIT VELLORE,TIER 2
VIVEKANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
VJTI MUMBAI,TIER 2
VNIT NAGPUR,TIER 1
VNR VJIET,TIER 3
VTU,TIER 3
VVP ENGINEERING COLLEGE,TIER 3
WALCHAND COLLEGE OF ENGINEERING SANGLI,TIER 2
WALCHAND INSTITUDE OF TECHNOLOGY,TIER 3
"WEST BENGAL UNIVERSITY OF TECHNOLOGY, KOLKATA",TIER 3
WEST VIRGINIA UNIVERSITY,TIER 3
WOOLF UNIVERSITY,TIER 3
YESHWANTRAO CHAVAN COLLEGE OF ENGINEERING,TIER 3
"ZAKIR HUSAIN COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH",TIER 3
